GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,EntandoResourceClient,14,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,UnauthorizedExcepion,5,0,0,0,2,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,PodClient,35,47,1,3,7,10,1,2,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,DuplicateExcepion,5,0,0,0,2,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultServiceClient,51,45,2,0,6,7,2,3,1,3
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultDeploymentClient,18,57,1,1,3,9,1,3,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultSimpleK8SClient,0,110,0,16,0,27,0,17,0,9
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesExceptionProcessor,137,0,10,0,17,0,8,0,3,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesClientProducer,29,0,0,0,4,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultSecretClient,21,74,0,0,6,13,0,5,0,5
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultPodClient,1,136,1,5,0,17,1,11,0,9
Entando K8S Operator Common Library,org.entando.kubernetes.client,PodWatcher,5,88,3,9,2,21,3,11,0,8
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultIngressClient,33,89,1,1,5,16,3,6,2,6
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultServiceAccountClient,71,59,0,0,9,6,3,4,3,4
Entando K8S Operator Common Library,org.entando.kubernetes.client,PatchableClient,5,30,1,1,1,4,1,1,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultPersistentVolumeClaimClient,0,57,0,2,0,11,0,4,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesRestInterceptor,203,0,14,0,34,0,14,0,7,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultKeycloakClient,149,557,17,13,30,144,18,23,5,21
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultEntandoResourceClient,175,179,2,2,19,39,12,9,10,9
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,SecretCreator,12,178,2,16,2,41,2,14,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,AbstractK8SResourceCreator,0,135,2,2,0,28,2,7,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,IngressCreator,8,355,2,22,3,63,2,24,0,14
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,PersistentVolumeClaimCreator,0,106,0,0,0,23,0,7,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,DeploymentCreator,47,644,6,26,7,131,7,30,1,20
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,ServiceCreator,9,240,1,1,4,48,2,10,1,10
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,KeycloakClientCreator,24,199,3,11,2,44,3,11,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,ServiceAccountCreator,0,153,0,0,0,39,0,7,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,DatabasePreparationPodCreator,0,481,0,4,0,77,0,18,0,16
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,IngressPathCreator,0,121,0,2,0,22,0,9,0,8
